Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,ICICI_Bank,635954000000.0,-46605500000.0,-130136000000.0,673254000000.0
2025,ICICI_Bank,1180350000000.0,55892300000.0,-772884000000.0,1228050000000.0
2024,ICICI_Bank,1536060000000.0,137645000000.0,-1459310000000.0,1572840000000.0
2023,ICICI_Bank,-62388729000.0,247907000000.0,-680053000000.0,-37711921000.0
