Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,HUL,96380000000.0,-108100000000.0,-36840000000,109990000000.0
2025,HUL,106110000000.0,-131010000000.0,64730000000,118860000000.0
2024,HUL,139920000000.0,-100340000000.0,-53240000000,154690000000.0
2023,HUL,87990000000.0,-89530000000.0,-14940000000,99910000000.0
