Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,Bharti_Airtel,758288000000.0,-522926000000.0,-585345000000.0,1222300000000.0
2025,Bharti_Airtel,376418000000.0,-365332000000.0,-602698000000.0,983322000000.0
2024,Bharti_Airtel,388467000000.0,-277785000000.0,-502039000000.0,788982000000.0
2023,Bharti_Airtel,387861000000.0,-244695000000.0,-390802000000.0,653246000000.0
