Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,Reliance,691970000000.0,-515490000000.0,-1010890000000.0,1921130000000.0
2025,Reliance,387360000000.0,-318910000000.0,-1375350000000.0,1787030000000.0
2024,Reliance,59050000000.0,-166460000000.0,-1135810000000.0,1587880000000.0
2023,Reliance,-259560000000.0,104550000000.0,-912350000000.0,1150320000000.0
