Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,ITC,162814000000.0,-161471000000.0,-23207400000,184643000000.0
2025,ITC,153483000000.0,-170374000000.0,-3641000000,176270000000.0
2024,ITC,136163000000.0,-185510000000.0,15627700000,171789000000.0
2023,ITC,161346000000.0,-130060000000.0,-57322900000,188776000000.0
