Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,TCS,479480000000.0,-421330000000.0,-128450000000.0,520940000000.0
2025,TCS,449710000000.0,-474380000000.0,-23180000000.0,489080000000.0
2024,TCS,416640000000.0,-485360000000.0,60260000000.0,443380000000.0
2023,TCS,388650000000.0,-478780000000.0,390000000.0,419650000000.0
