Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,Sun_Pharma,88098100000.0,-25125500000,-113441000000.0,124192000000.0
2025,Sun_Pharma,119435000000.0,-79058200000,-53061600000.0,140721000000.0
2024,Sun_Pharma,99331700000.0,-67101600000,-6902000000.0,121350000000.0
2023,Sun_Pharma,28737500000.0,23760700000,-79436800000.0,49593300000.0
