Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,Infosys,3.53795E+11,-4.25066E+11,947750000,3.82796E+11
2025,Infosys,3.49655E+11,-2.45905E+11,-30877052000,3.7215E+11
2024,Infosys,2.4031E+11,-1.76439E+11,-59035234800,2.6249E+11
2023,Infosys,2.08245E+11,-2.70209E+11,-17915349000,2.34461E+11
