Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,Wipro,133713000000.0,-141260000000.0,-33423000000,149316000000.0
2025,Wipro,154389000000.0,-63963000000.0,-80730000000,169426000000.0
2024,Wipro,165706000000.0,-182567000000.0,11680000000,176216000000.0
2023,Wipro,115767000000.0,-60881000000.0,-84065000000,130601000000.0
