Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,ONGC,587289000000.0,-563307000000.0,-576759000000.0,1127190000000.0
2025,ONGC,351813000000.0,-479085000000.0,-429990000000.0,908556000000.0
2024,ONGC,467278000000.0,-450093000000.0,-574850000000.0,988466000000.0
2023,ONGC,351318000000.0,-128762000000.0,-750949000000.0,860621000000.0
