Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,SBI,297344000000.0,-34271374000.0,-6908857000,380974000000.0
2025,SBI,398468000000.0,-107368000000.0,-56347422000,454840000000.0
2024,SBI,174573000000.0,-98962800000.0,-42517153000,216324000000.0
2023,SBI,-900573000000.0,63863820000.0,-40409690000,-860137000000.0
