Year,Company,Free Cash Flow,Financing Cash Flow,Investing Cash Flow,Operating Cash Flow
2026,Dr_Reddys,18330000000,8290000000,-65513000000,56755000000
2025,Dr_Reddys,12030000000,18911000000,-58077000000,46428000000
2024,Dr_Reddys,17998000000,-3763000000,-40283000000,45433000000
2023,Dr_Reddys,40009000000,-26861000000,-41373000000,58875000000
