Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,ONGC,1180420000000.0,414244000000.0,6622470000000.0,32.93
2025,ONGC,1021390000000.0,362256000000.0,6632610000000.0,28.8
2024,ONGC,1168870000000.0,491439000000.0,5986440000000.0,39.06
2023,ONGC,776689000000.0,367093000000.0,6295100000000.0,29.18
