Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,SBI,0,833000000000.0,3820000000000.0,91.16
2025,SBI,0,776000000000.0,3500000000000.0,86.91
2024,SBI,0,671000000000.0,3240000000000.0,75.17
2023,SBI,0,556000000000.0,2700000000000.0,62.35
