Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,Sun_Pharma,1.84E+11,1.15E+11,5.82E+11,47.8
2025,Sun_Pharma,1.66E+11,1.09E+11,5.20E+11,45.6
2024,Sun_Pharma,1.39E+11,95763800000,4.78E+11,39.9
2023,Sun_Pharma,1.21E+11,84735800000,4.33E+11,35.3
