Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,Maruti,261000000000.0,147000000000.0,1800000000000.0,466.9
2025,Maruti,254000000000.0,145000000000.0,1510000000000.0,461.2
2024,Maruti,229000000000.0,135000000000.0,1360000000000.0,429.01
2023,Maruti,155000000000.0,82637000000.0,1140000000000.0,262.84
