Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,ICICI_Bank,0,542000000000.0,2230000000000.0,75.89
2025,ICICI_Bank,0,510000000000.0,2060000000000.0,72.41
2024,ICICI_Bank,0,443000000000.0,1530000000000.0,63.19
2023,ICICI_Bank,0,340000000000.0,1300000000000.0,48.86
