Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,ITC,298000000000.0,207000000000.0,782000000000.0,16.52
2025,ITC,289000000000.0,347000000000.0,747000000000.0,27.79
2024,ITC,283000000000.0,205000000000.0,674000000000.0,16.42
2023,ITC,278000000000.0,192000000000.0,702000000000.0,15.5
