Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,Infosys,4.83826E+11,3.1399E+11,1.91047E+12,76.76775
2025,Infosys,4.3322E+11,2.7011E+11,1.6488E+12,65.00432
2024,Infosys,4.14164E+11,2.64074E+11,1.54776E+12,64.204987
2023,Infosys,3.84933E+11,2.4498E+11,1.49667E+12,58.348155
