Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,Wipro,2.10E+11,1.32E+11,9.26E+11,12.6
2025,Wipro,2.14E+11,1.31E+11,8.91E+11,12.56
2024,Wipro,1.90E+11,1.10E+11,8.98E+11,10.44
2023,Wipro,1.89E+11,1.14E+11,9.05E+11,10.365
