Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,Reliance,2050000000000.0,808000000000.0,10600000000000.0,59.69
2025,Reliance,1810000000000.0,696000000000.0,9650000000000.0,51.47
2024,Reliance,1770000000000.0,696000000000.0,9010000000000.0,51.45
2023,Reliance,1530000000000.0,667000000000.0,8780000000000.0,49.295
