Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,Bharti_Airtel,1190000000000.0,267000000000.0,2110000000000.0,45.96
2025,Bharti_Airtel,1060000000000.0,336000000000.0,1730000000000.0,58.0
2024,Bharti_Airtel,682000000000.0,74670000000.0,1500000000000.0,13.09
2023,Bharti_Airtel,673000000000.0,83459000000.0,1390000000000.0,14.8
