Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,HUL,157000000000.0,150000000000.0,638000000000.0,64.01
2025,HUL,162000000000.0,106000000000.0,606000000000.0,45.32
2024,HUL,155000000000.0,103000000000.0,610000000000.0,43.74
2023,HUL,146000000000.0,101000000000.0,595000000000.0,43.07
