Year,Company,EBITDA,Net Income,Total Revenue,Basic EPS
2026,Dr_Reddys,79160000000,42850000000,336000000000.0,51.48
2025,Dr_Reddys,96671000000,56544000000,326000000000.0,67.89
2024,Dr_Reddys,88422000000,55684000000,279000000000.0,67.044
2023,Dr_Reddys,74431000000,45067000000,246000000000.0,54.294
