Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,SBI,83215700000000.0,77066700000000.0,6148990000000.0,7268920000000.0,6671130000000.0
2025,SBI,73141900000000.0,68091200000000.0,5050630000000.0,6181250000000.0,6208490000000.0
2024,SBI,67337800000000.0,63032200000000.0,4305570000000.0,5565030000000.0,5975680000000.0
2023,SBI,59544200000000.0,55826500000000.0,3717680000000.0,5220930000000.0,5369030000000.0
