Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,Infosys,1.55867E+12,6.26084E+11,9.32586E+11,91647425000,2.21868E+11
2025,Infosys,1.48988E+12,5.27219E+11,9.62663E+11,82281784000,2.44707E+11
2024,Infosys,1.37774E+12,4.93461E+11,8.84278E+11,83549866200,1.47838E+11
2023,Infosys,1.25835E+12,5.00315E+11,7.58033E+11,83002305000,1.21709E+11
