Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,Bharti_Airtel,5520000000000.0,3560000000000.0,1960000000000.0,1950000000000.0,137000000000.0
2025,Bharti_Airtel,5140000000000.0,3610000000000.0,1530000000000.0,2140000000000.0,61056000000.0
2024,Bharti_Airtel,4450000000000.0,3390000000000.0,1060000000000.0,2160000000000.0,69155000000.0
2023,Bharti_Airtel,4470000000000.0,3400000000000.0,1060000000000.0,2260000000000.0,71794000000.0
