Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,ICICI_Bank,29145000000000.0,25349300000000.0,3795710000000.0,2202640000000.0,2649810000000.0
2025,ICICI_Bank,26422400000000.0,23135000000000.0,3287430000000.0,2036500000000.0,2383040000000.0
2024,ICICI_Bank,23640600000000.0,20940300000000.0,2700320000000.0,2009990000000.0,1901300000000.0
2023,ICICI_Bank,19584900000000.0,17373100000000.0,2211850000000.0,1835090000000.0,1635670000000.0
