Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,TCS,1823720000000.0,738940000000.0,1084780000000.0,112830000000.0,64050000000
2025,TCS,1596290000000.0,638580000000.0,957710000000.0,93920000000.0,83310000000
2024,TCS,1464490000000.0,551300000000.0,913190000000.0,80210000000.0,90070000000
2023,TCS,1436510000000.0,524450000000.0,912060000000.0,76880000000.0,71150000000
