Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,ONGC,7919050000000.0,3822120000000.0,4096930000000.0,1743160000000.0,15543900000
2025,ONGC,7587230000000.0,3844880000000.0,3742350000000.0,1878170000000.0,16675860000
2024,ONGC,7419980000000.0,3823740000000.0,3596240000000.0,1911950000000.0,26859490000
2023,ONGC,6427740000000.0,3431800000000.0,2995930000000.0,1767440000000.0,26436580000
