Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,Maruti,1488810000000.0,417247000000.0,1071560000000.0,1025000000,669000000
2025,Maruti,1319720000000.0,357319000000.0,962399000000.0,870000000,1845000000
2024,Maruti,1153510000000.0,297148000000.0,856360000000.0,1186000000,26595000000
2023,Maruti,1003850000000.0,257852000000.0,746002000000.0,12476000000,17852000000
