Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,ITC,937924000000.0,209194000000.0,728730000000.0,23993600000,6434600000
2025,ITC,880907000000.0,176927000000.0,703979000000.0,2848400000,6200000000
2024,ITC,918262000000.0,169362000000.0,748900000000.0,3037300000,6258900000
2023,ITC,858830000000.0,163442000000.0,695388000000.0,3063400000,4633500000
