Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,Sun_Pharma,1087850000000.0,249055000000.0,838797000000.0,46273200000,97705100000.0
2025,Sun_Pharma,921006000000.0,196146000000.0,724860000000.0,23621900000,102688000000.0
2024,Sun_Pharma,854997000000.0,183737000000.0,671259000000.0,32736700000,92856500000.0
2023,Sun_Pharma,807436000000.0,214281000000.0,593155000000.0,68858700000,46237300000.0
