Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,HUL,797520000000.0,307450000000.0,490070000000.0,14780000000,25830000000
2025,HUL,798800000000.0,302710000000.0,496090000000.0,16480000000,60710000000
2024,HUL,784990000000.0,270760000000.0,514230000000.0,14840000000,8250000000
2023,HUL,730870000000.0,225650000000.0,505220000000.0,12190000000,7140000000
