Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,Wipro,1419260000000.0,531385000000.0,887877000000.0,202910000000.0,105555000000.0
2025,Wipro,1286520000000.0,456073000000.0,830447000000.0,192035000000.0,121974000000.0
2024,Wipro,1152460000000.0,401236000000.0,751223000000.0,164649000000.0,96953000000.0
2023,Wipro,1175820000000.0,394069000000.0,781753000000.0,174666000000.0,91880000000.0
