Year,Company,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Debt,Cash And Cash Equivalents
2026,Reliance,21781400000000.0,10922700000000.0,10858700000000.0,3980000000000.0,1373270000000.0
2025,Reliance,19501200000000.0,9404930000000.0,10096300000000.0,3695750000000.0,1006450000000.0
2024,Reliance,17559900000000.0,8301980000000.0,9257880000000.0,3461420000000.0,935400000000.0
2023,Reliance,16074300000000.0,7785500000000.0,8288810000000.0,3343920000000.0,341560000000.0
