Date,Company,Open,High,Low,Close,Adj Close,Volume
2022-07-11,Infosys,1495.0,1499.9000244140625,1466.4000244140625,1473.1500244140625,1308.1529541015625,4702638
2022-07-12,Infosys,1461.800048828125,1468.5999755859375,1436.0,1438.5999755859375,1277.47265625,4710356
2022-07-13,Infosys,1450.0,1460.0,1438.5999755859375,1444.449951171875,1282.6673583984375,5264025
2022-07-14,Infosys,1451.0,1452.949951171875,1414.0,1428.8499755859375,1268.8145751953125,6157606
2022-07-15,Infosys,1446.0,1446.0,1410.6500244140625,1430.3499755859375,1270.146728515625,5620018
2022-07-18,Infosys,1450.0,1493.5999755859375,1448.050048828125,1489.9000244140625,1323.0269775390625,5835171
2022-07-19,Infosys,1471.550048828125,1486.8499755859375,1470.0999755859375,1484.1500244140625,1317.921142578125,3418540
2022-07-20,Infosys,1501.25,1525.800048828125,1500.0,1515.300048828125,1345.5821533203125,5079392
2022-07-21,Infosys,1517.0,1535.449951171875,1503.0999755859375,1532.9000244140625,1361.2109375,5008061
2022-07-22,Infosys,1534.0,1540.0,1492.1500244140625,1506.300048828125,1337.590087890625,7020642
2022-07-25,Infosys,1480.0999755859375,1517.1500244140625,1480.0999755859375,1503.5999755859375,1335.192626953125,7859626
2022-07-26,Infosys,1496.6500244140625,1496.6500244140625,1445.0,1451.1500244140625,1288.6171875,7268273
2022-07-27,Infosys,1451.0,1473.0,1445.0,1471.050048828125,1306.2882080078125,4517285
2022-07-28,Infosys,1496.4000244140625,1524.449951171875,1489.8499755859375,1517.4000244140625,1347.44677734375,6636841
2022-07-29,Infosys,1532.800048828125,1555.699951171875,1528.0,1549.699951171875,1376.1290283203125,7009465
2022-08-01,Infosys,1564.0,1564.0,1537.9000244140625,1551.050048828125,1377.3280029296875,2983249
2022-08-02,Infosys,1546.550048828125,1547.0,1528.3499755859375,1543.5999755859375,1370.71240234375,4374635
2022-08-03,Infosys,1549.0,1570.0,1539.9000244140625,1566.0999755859375,1390.6922607421875,6011955
2022-08-04,Infosys,1587.5,1603.8499755859375,1574.949951171875,1599.9000244140625,1420.70654296875,7402209
2022-08-05,Infosys,1608.4000244140625,1625.699951171875,1602.300048828125,1616.6500244140625,1435.58056640625,5361971
2022-08-08,Infosys,1617.0,1622.0,1596.0,1619.4000244140625,1438.022705078125,3763409
2022-08-10,Infosys,1621.199951171875,1621.199951171875,1588.0999755859375,1602.449951171875,1422.970947265625,4423829
2022-08-11,Infosys,1630.0,1631.3499755859375,1616.0,1619.949951171875,1438.510986328125,3462090
2022-08-12,Infosys,1613.300048828125,1614.0,1590.1500244140625,1594.0999755859375,1415.5562744140625,3562286
2022-08-16,Infosys,1609.0,1609.0,1591.0999755859375,1596.449951171875,1417.6429443359375,3004430
2022-08-17,Infosys,1596.449951171875,1612.0,1585.0,1606.25,1426.3453369140625,4067324
2022-08-18,Infosys,1594.0999755859375,1598.199951171875,1574.0,1582.949951171875,1405.6549072265625,4635706
2022-08-19,Infosys,1585.300048828125,1604.9000244140625,1585.0999755859375,1597.0999755859375,1418.22021484375,4739884
2022-08-22,Infosys,1586.0,1599.0,1574.0,1575.6500244140625,1399.1728515625,3950555
2022-08-23,Infosys,1548.0,1554.5,1533.0,1542.4000244140625,1369.646728515625,5551574
2022-08-24,Infosys,1535.0,1546.0,1531.0,1537.5,1365.2955322265625,2888426
2022-08-25,Infosys,1548.0,1548.699951171875,1513.75,1518.1500244140625,1348.1129150390625,4331088
2022-08-26,Infosys,1535.1500244140625,1544.949951171875,1517.449951171875,1521.550048828125,1351.1322021484375,3079136
2022-08-29,Infosys,1468.550048828125,1468.550048828125,1450.0,1461.75,1298.02978515625,8079050
2022-08-30,Infosys,1473.0999755859375,1496.0999755859375,1466.0,1492.949951171875,1325.7353515625,6725875
2022-09-01,Infosys,1460.050048828125,1468.0999755859375,1451.050048828125,1464.199951171875,1300.205322265625,8140604
2022-09-02,Infosys,1478.0,1478.0,1448.0,1453.0,1290.260009765625,5175653
2022-09-05,Infosys,1451.0,1467.0,1446.3499755859375,1461.300048828125,1297.630126953125,3669352
2022-09-06,Infosys,1461.300048828125,1470.0,1445.449951171875,1455.0999755859375,1292.12451171875,3428442
2022-09-07,Infosys,1440.0,1465.75,1438.050048828125,1457.6500244140625,1294.3890380859375,3600574
2022-09-08,Infosys,1475.0,1481.0999755859375,1463.5999755859375,1475.9000244140625,1310.5950927734375,4061475
2022-09-09,Infosys,1488.0,1520.0,1480.0,1511.6500244140625,1342.3408203125,4816910
2022-09-12,Infosys,1525.800048828125,1545.9000244140625,1521.1500244140625,1536.199951171875,1364.14111328125,5494819
2022-09-13,Infosys,1551.9000244140625,1553.0,1541.300048828125,1544.949951171875,1371.9112548828125,4947158
2022-09-14,Infosys,1497.0,1498.949951171875,1472.0,1475.4000244140625,1310.1510009765625,14332197
2022-09-15,Infosys,1475.0,1475.199951171875,1429.050048828125,1432.800048828125,1272.322265625,12784100
2022-09-16,Infosys,1425.0,1425.0,1368.3499755859375,1377.050048828125,1222.81640625,20464045
2022-09-19,Infosys,1392.0,1406.0,1380.5999755859375,1390.300048828125,1234.5823974609375,6595241
2022-09-20,Infosys,1407.949951171875,1413.550048828125,1385.0999755859375,1388.550048828125,1233.028564453125,7219797
2022-09-21,Infosys,1379.9000244140625,1388.800048828125,1368.4000244140625,1377.25,1222.9940185546875,7917054
2022-09-22,Infosys,1366.3499755859375,1383.949951171875,1360.0,1367.949951171875,1214.7357177734375,9168498
2022-09-23,Infosys,1367.5,1394.800048828125,1362.0,1365.449951171875,1212.515625,10426200
2022-09-26,Infosys,1360.0,1399.449951171875,1355.0,1380.25,1225.6578369140625,9414587
2022-09-27,Infosys,1393.449951171875,1406.5,1378.0,1393.550048828125,1237.4683837890625,8561254
2022-09-28,Infosys,1379.0,1405.8499755859375,1377.0,1394.699951171875,1238.4893798828125,7022098
2022-09-29,Infosys,1404.9000244140625,1409.8499755859375,1393.0,1398.6500244140625,1241.9971923828125,6119965
2022-09-30,Infosys,1388.949951171875,1419.300048828125,1376.0,1413.449951171875,1255.139404296875,8120130
2022-10-03,Infosys,1412.0,1412.0,1386.0,1393.75,1237.6461181640625,4943169
2022-10-04,Infosys,1419.699951171875,1432.25,1414.0,1429.4000244140625,1269.3031005859375,6631341
2022-10-06,Infosys,1445.0,1459.800048828125,1444.0999755859375,1455.1500244140625,1292.1689453125,6180672
2022-10-07,Infosys,1446.3499755859375,1457.8499755859375,1440.1500244140625,1451.199951171875,1288.6614990234375,3994466
2022-10-10,Infosys,1426.3499755859375,1465.0,1426.3499755859375,1462.6500244140625,1298.8291015625,5274677
2022-10-11,Infosys,1462.6500244140625,1479.6500244140625,1420.0999755859375,1423.800048828125,1264.3302001953125,12824774
2022-10-12,Infosys,1437.0,1441.0999755859375,1413.550048828125,1428.699951171875,1268.681640625,5481467
2022-10-13,Infosys,1431.0,1437.949951171875,1415.0,1419.9000244140625,1260.8671875,4821514
2022-10-14,Infosys,1485.0,1494.0,1467.25,1474.25,1309.1297607421875,14990688
2022-10-17,Infosys,1476.9000244140625,1495.0,1475.5,1489.949951171875,1323.0712890625,4286396
2022-10-18,Infosys,1510.0,1510.949951171875,1497.25,1503.699951171875,1335.28125,4692004
2022-10-19,Infosys,1504.0,1504.949951171875,1481.300048828125,1485.449951171875,1319.0753173828125,3553171
2022-10-20,Infosys,1475.0,1504.0,1474.199951171875,1500.9000244140625,1332.794921875,4583939
2022-10-21,Infosys,1500.300048828125,1506.0,1491.3499755859375,1500.5,1332.4398193359375,3594485
