Date,Company,Open,High,Low,Close,Adj Close,Volume
2022-07-11,Dr_Reddys,875.8300170898438,913.739990234375,870.02001953125,900.2000122070312,882.360595703125,4797040
2022-07-12,Dr_Reddys,894.02001953125,907.7999877929688,885.2000122070312,896.739990234375,878.9690551757812,2079370
2022-07-13,Dr_Reddys,898.9000244140625,906.9400024414062,890.0,900.3200073242188,882.4782104492188,1893835
2022-07-14,Dr_Reddys,901.2000122070312,921.5999755859375,900.6099853515625,915.0800170898438,896.9456787109375,4423835
2022-07-15,Dr_Reddys,919.0800170898438,922.510009765625,904.2000122070312,909.2000122070312,891.1821899414062,1504725
2022-07-18,Dr_Reddys,915.2000122070312,922.760009765625,891.0599975585938,893.219970703125,875.5188598632812,2337315
2022-07-19,Dr_Reddys,891.5599975585938,899.5999755859375,887.030029296875,889.5800170898438,871.9509887695312,1961920
2022-07-20,Dr_Reddys,898.0,898.4000244140625,888.0,891.75,874.0780639648438,1130700
2022-07-21,Dr_Reddys,893.7999877929688,897.3699951171875,871.2000122070312,874.219970703125,856.8953247070312,3126100
2022-07-22,Dr_Reddys,878.7999877929688,881.3599853515625,870.5999755859375,874.7000122070312,857.3659057617188,1806315
2022-07-25,Dr_Reddys,875.530029296875,878.1699829101562,860.0,866.1099853515625,848.9461059570312,1726910
2022-07-26,Dr_Reddys,865.760009765625,865.760009765625,838.8099975585938,842.4000244140625,825.7060546875,2971165
2022-07-27,Dr_Reddys,841.5900268554688,860.0,832.5999755859375,857.2100219726562,840.2225341796875,1866270
2022-07-28,Dr_Reddys,862.7999877929688,862.97998046875,839.0,852.010009765625,835.1256103515625,2832835
2022-07-29,Dr_Reddys,836.5900268554688,836.5900268554688,811.1199951171875,818.0700073242188,801.858154296875,9872475
2022-08-01,Dr_Reddys,827.9600219726562,827.9600219726562,820.0999755859375,822.0900268554688,805.7984619140625,2136850
2022-08-02,Dr_Reddys,825.5999755859375,825.5999755859375,814.239990234375,817.0800170898438,800.8877563476562,2635115
2022-08-03,Dr_Reddys,818.989990234375,820.7999877929688,808.0,819.260009765625,803.0245361328125,2600985
2022-08-04,Dr_Reddys,822.0,831.8599853515625,817.8099975585938,829.5900268554688,813.1498413085938,3006675
2022-08-05,Dr_Reddys,831.0,838.760009765625,828.77001953125,831.3699951171875,814.89453125,2075395
2022-08-08,Dr_Reddys,831.3699951171875,846.7999877929688,831.3699951171875,844.6699829101562,827.9309692382812,2041885
2022-08-10,Dr_Reddys,848.719970703125,852.7999877929688,842.9099731445312,848.6599731445312,831.8419189453125,2108115
2022-08-11,Dr_Reddys,852.0,855.5999755859375,847.1799926757812,851.6599731445312,834.782470703125,1285185
2022-08-12,Dr_Reddys,851.5999755859375,857.9199829101562,844.2000122070312,852.1599731445312,835.2725219726562,2021290
2022-08-16,Dr_Reddys,855.0,863.7999877929688,852.5599975585938,859.5599975585938,842.52587890625,1314065
2022-08-17,Dr_Reddys,863.5900268554688,865.97998046875,858.3499755859375,863.1799926757812,846.0741577148438,2169055
2022-08-18,Dr_Reddys,848.0,848.0,826.6699829101562,845.02001953125,828.2741088867188,5137920
2022-08-19,Dr_Reddys,846.4000244140625,849.4199829101562,837.0,840.7999877929688,824.1376953125,1928705
2022-08-22,Dr_Reddys,833.8200073242188,845.989990234375,832.0,837.3900146484375,820.7952880859375,1692810
2022-08-23,Dr_Reddys,829.0,847.0399780273438,829.0,845.030029296875,828.2838745117188,1398150
2022-08-24,Dr_Reddys,849.260009765625,849.260009765625,839.4000244140625,843.6099853515625,826.8920288085938,1467185
2022-08-25,Dr_Reddys,847.8300170898438,852.780029296875,842.4000244140625,847.5800170898438,830.7833251953125,1552875
2022-08-26,Dr_Reddys,854.5999755859375,855.0,842.4299926757812,844.6599731445312,827.9212036132812,818685
2022-08-29,Dr_Reddys,834.0,844.6500244140625,831.4299926757812,842.030029296875,825.3433227539062,966050
2022-08-30,Dr_Reddys,842.7999877929688,852.3200073242188,838.530029296875,849.010009765625,832.1849975585938,2359905
