Date,Company,Open,High,Low,Close,Adj Close,Volume
2022-07-11,HUL,2487.0,2525.0,2480.0,2490.60009765625,2318.033935546875,1587197
2022-07-12,HUL,2475.0,2490.60009765625,2444.449951171875,2449.550048828125,2279.828369140625,1116476
2022-07-13,HUL,2464.0,2519.35009765625,2461.39990234375,2497.75,2324.68798828125,2528792
2022-07-14,HUL,2502.75,2522.89990234375,2468.199951171875,2497.800048828125,2324.735107421875,1663307
2022-07-15,HUL,2530.0,2573.89990234375,2502.050048828125,2568.5,2390.536376953125,2996964
2022-07-18,HUL,2581.0,2605.0,2533.050048828125,2553.5,2376.57568359375,1566888
2022-07-19,HUL,2549.949951171875,2575.0,2522.75,2567.949951171875,2390.024169921875,1473121
2022-07-20,HUL,2575.0,2618.0,2535.60009765625,2604.5,2424.042236328125,4012897
2022-07-21,HUL,2617.0,2629.89990234375,2591.699951171875,2607.449951171875,2426.787353515625,1990695
2022-07-22,HUL,2617.0,2643.199951171875,2611.050048828125,2640.60009765625,2457.640625,1905780
2022-07-25,HUL,2645.5,2654.0,2612.0,2623.60009765625,2441.818603515625,1253821
2022-07-26,HUL,2625.0,2625.0,2538.10009765625,2547.10009765625,2370.618896484375,1685576
2022-07-27,HUL,2535.35009765625,2590.5,2525.0,2581.949951171875,2403.05419921875,1404133
2022-07-28,HUL,2625.0,2625.0,2585.0,2620.10009765625,2438.561279296875,1442054
2022-07-29,HUL,2640.0,2645.0,2596.0,2637.39990234375,2454.66259765625,1463059
2022-08-01,HUL,2637.5,2638.0,2580.0,2593.0,2413.339111328125,1559918
2022-08-02,HUL,2600.0,2639.10009765625,2599.0,2635.25,2452.66162109375,1359934
2022-08-03,HUL,2615.25,2664.0,2597.89990234375,2626.35009765625,2444.37841796875,1767904
2022-08-04,HUL,2634.0,2643.449951171875,2615.0,2627.949951171875,2445.8671875,1189384
2022-08-05,HUL,2638.0,2657.64990234375,2627.550048828125,2645.39990234375,2462.10791015625,1176666
2022-08-08,HUL,2645.39990234375,2658.0,2626.050048828125,2650.35009765625,2466.715576171875,1024511
2022-08-10,HUL,2650.35009765625,2676.699951171875,2631.199951171875,2642.800048828125,2459.6884765625,1098949
2022-08-11,HUL,2656.050048828125,2667.75,2606.60009765625,2613.699951171875,2432.604248046875,810674
2022-08-12,HUL,2624.89990234375,2626.10009765625,2585.10009765625,2594.949951171875,2415.153564453125,1473527
2022-08-16,HUL,2607.949951171875,2648.35009765625,2590.550048828125,2644.5,2461.270751953125,1584117
2022-08-17,HUL,2651.0,2694.0,2644.5,2684.64990234375,2498.638427734375,1711381
2022-08-18,HUL,2685.0,2715.0,2664.64990234375,2682.050048828125,2496.21875,1465489
2022-08-19,HUL,2689.0,2698.949951171875,2626.5,2634.550048828125,2452.01025390625,1324508
2022-08-22,HUL,2648.0,2666.800048828125,2620.10009765625,2626.699951171875,2444.70361328125,1410895
2022-08-23,HUL,2602.050048828125,2629.699951171875,2585.25,2592.75,2413.10595703125,1305045
2022-08-24,HUL,2576.0,2610.0,2561.300048828125,2588.25,2408.918212890625,1242489
2022-08-25,HUL,2601.199951171875,2628.39990234375,2565.449951171875,2574.199951171875,2395.84130859375,1106593
2022-08-26,HUL,2599.89990234375,2614.699951171875,2562.0,2571.550048828125,2393.374755859375,1048791
2022-08-29,HUL,2550.0,2607.89990234375,2550.0,2575.800048828125,2397.33056640625,1450034
2022-08-30,HUL,2588.699951171875,2667.0,2585.60009765625,2659.85009765625,2475.556884765625,2227943
2022-09-01,HUL,2650.0,2655.0,2594.0,2606.0,2425.43798828125,1702269
