Date,Company,Open,High,Low,Close,Adj Close,Volume
2022-07-11,ONGC,121.5,125.9000015258789,121.05000305175781,125.5,97.76171875,31521678
2022-07-12,ONGC,124.9000015258789,126.75,123.5,124.0999984741211,96.671142578125,25216226
2022-07-13,ONGC,122.44999694824219,124.9000015258789,121.4000015258789,124.44999694824219,96.94378662109375,27166975
2022-07-14,ONGC,124.4000015258789,132.60000610351562,123.80000305175781,127.1500015258789,99.04702758789062,38464081
2022-07-15,ONGC,127.5999984741211,128.39999389648438,124.5999984741211,126.55000305175781,98.57962799072266,18088858
2022-07-18,ONGC,127.05000305175781,130.6999969482422,126.94999694824219,129.89999389648438,101.189208984375,21010247
2022-07-19,ONGC,130.5,133.1999969482422,124.44999694824219,127.9000015258789,99.6312484741211,33778758
2022-07-20,ONGC,135.0,136.60000610351562,132.1999969482422,132.5500030517578,103.25350189208984,60317150
2022-07-21,ONGC,133.0,133.5,131.8000030517578,133.10000610351562,103.68193817138672,20853780
2022-07-22,ONGC,133.8000030517578,133.8000030517578,131.5500030517578,132.4499969482422,103.17558288574219,11630255
2022-07-25,ONGC,132.0,132.4499969482422,128.39999389648438,129.8000030517578,101.11131286621094,21705935
2022-07-26,ONGC,130.85000610351562,131.60000610351562,127.75,128.1999969482422,99.86493682861328,22172845
2022-07-27,ONGC,129.10000610351562,130.1999969482422,127.80000305175781,128.60000610351562,100.17654418945312,20187969
2022-07-28,ONGC,130.39999389648438,130.5,128.25,130.25,101.46184539794922,25736737
2022-07-29,ONGC,130.4499969482422,134.5,129.89999389648438,134.14999389648438,104.49987030029297,19738642
2022-08-01,ONGC,134.10000610351562,139.0,133.1999969482422,138.39999389648438,107.81051635742188,20592826
2022-08-02,ONGC,136.6999969482422,137.0500030517578,134.60000610351562,136.6999969482422,106.48626708984375,15037928
2022-08-03,ONGC,136.0,138.4499969482422,133.8000030517578,135.64999389648438,105.6683349609375,15853543
2022-08-04,ONGC,134.35000610351562,137.14999389648438,134.0,136.25,106.1357192993164,14311959
2022-08-05,ONGC,135.10000610351562,138.5,133.60000610351562,136.5,106.33047485351562,66480753
2022-08-08,ONGC,136.3000030517578,137.5,135.0500030517578,136.5,106.33047485351562,12451233
2022-08-10,ONGC,136.39999389648438,136.75,133.4499969482422,133.8000030517578,104.22722625732422,15829467
2022-08-11,ONGC,134.5,136.0,132.0500030517578,132.8000030517578,103.44824981689453,19479706
2022-08-12,ONGC,133.89999389648438,139.6999969482422,133.5,139.1999969482422,108.43370056152344,40876891
2022-08-16,ONGC,139.5,141.89999389648438,136.10000610351562,139.9499969482422,109.01792907714844,31230003
2022-08-17,ONGC,139.9499969482422,140.8000030517578,138.6999969482422,139.64999389648438,108.78422546386719,15694770
2022-08-18,ONGC,138.25,138.3000030517578,134.6999969482422,135.5500030517578,108.10633087158203,42597708
2022-08-19,ONGC,137.5,138.5,134.0500030517578,134.60000610351562,107.34866333007812,35382493
2022-08-22,ONGC,134.5,134.5,129.8000030517578,131.89999389648438,105.1953125,31231393
2022-08-23,ONGC,131.89999389648438,134.1999969482422,130.10000610351562,133.75,106.67076873779297,24268146
2022-08-24,ONGC,134.6999969482422,137.39999389648438,134.5,136.0,108.46522521972656,22730039
2022-08-25,ONGC,137.0,138.14999389648438,136.14999389648438,136.5500030517578,108.90387725830078,14620592
2022-08-26,ONGC,136.5,138.25,136.10000610351562,136.64999389648438,108.98362731933594,12105053
2022-08-29,ONGC,134.1999969482422,136.60000610351562,133.75,135.89999389648438,108.38545989990234,9198908
2022-08-30,ONGC,137.89999389648438,139.85000610351562,137.5500030517578,138.60000610351562,110.53883361816406,21720398
2022-09-01,ONGC,135.0,136.25,134.14999389648438,134.6999969482422,107.42842864990234,20349294
2022-09-02,ONGC,134.6999969482422,135.75,132.3000030517578,132.75,105.87322998046875,17495310
2022-09-05,ONGC,132.89999389648438,133.89999389648438,132.64999389648438,133.39999389648438,106.3916244506836,14865879
2022-09-06,ONGC,134.10000610351562,134.14999389648438,131.6999969482422,132.10000610351562,105.3548355102539,10870488
2022-09-07,ONGC,131.0,132.9499969482422,130.0500030517578,132.5,105.67384338378906,12042788
2022-09-08,ONGC,131.64999389648438,134.14999389648438,131.5,131.85000610351562,105.15544128417969,14629497
2022-09-09,ONGC,132.5,134.1999969482422,131.9499969482422,134.0,106.8701400756836,12327341
2022-09-12,ONGC,135.0,135.39999389648438,133.60000610351562,134.0,106.8701400756836,13500202
2022-09-13,ONGC,134.1999969482422,135.14999389648438,133.5,133.89999389648438,106.79039764404297,10846178
2022-09-14,ONGC,132.4499969482422,134.10000610351562,132.0,133.1999969482422,106.23211669921875,8597956
2022-09-15,ONGC,133.60000610351562,134.39999389648438,132.0,132.60000610351562,105.75360107421875,10810473
2022-09-16,ONGC,131.10000610351562,132.0,130.0,131.25,104.67691802978516,20909579
2022-09-19,ONGC,132.10000610351562,134.35000610351562,129.6999969482422,130.5500030517578,104.11864471435547,19411428
2022-09-20,ONGC,131.39999389648438,133.60000610351562,131.3000030517578,133.1999969482422,106.23211669921875,13080582
2022-09-21,ONGC,132.1999969482422,133.1999969482422,130.0500030517578,130.89999389648438,104.39777374267578,11156865
2022-09-22,ONGC,130.39999389648438,130.85000610351562,128.10000610351562,128.64999389648438,102.60331726074219,11366882
2022-09-23,ONGC,128.25,129.10000610351562,127.5,128.60000610351562,102.56344604492188,10407849
2022-09-26,ONGC,127.30000305175781,128.8000030517578,122.6500015258789,123.44999694824219,98.45612335205078,12848954
2022-09-27,ONGC,124.3499984741211,127.9000015258789,123.8499984741211,124.44999694824219,99.25365447998047,14465123
2022-09-28,ONGC,123.94999694824219,123.94999694824219,121.5,122.55000305175781,97.73834228515625,15267018
2022-09-29,ONGC,123.5,128.1999969482422,123.5,126.6500015258789,101.00823974609375,20597761
2022-09-30,ONGC,125.5,132.39999389648438,125.5,126.80000305175781,101.12787628173828,33530494
2022-10-03,ONGC,131.6999969482422,135.0,130.60000610351562,132.39999389648438,105.5940933227539,50966493
2022-10-04,ONGC,134.89999389648438,135.0,131.8000030517578,133.89999389648438,106.79039764404297,14137567
2022-10-06,ONGC,136.5,136.5500030517578,132.39999389648438,132.64999389648438,105.79346466064453,14570735
2022-10-07,ONGC,132.0500030517578,134.25,131.1999969482422,134.0500030517578,106.91002655029297,13532236
2022-10-10,ONGC,133.0,134.0,132.1999969482422,133.25,106.27200317382812,10183057
2022-10-11,ONGC,133.25,133.5,130.25,131.10000610351562,104.55729675292969,13176461
2022-10-12,ONGC,131.10000610351562,132.0,129.10000610351562,131.35000610351562,104.75668334960938,9401804
2022-10-13,ONGC,131.1999969482422,131.85000610351562,127.6500015258789,129.85000610351562,103.56037139892578,13320136
2022-10-14,ONGC,132.0,132.8000030517578,127.05000305175781,127.5999984741211,101.76590728759766,13205955
2022-10-17,ONGC,127.0,128.1999969482422,126.0,127.80000305175781,101.9254150390625,9320940
2022-10-18,ONGC,128.4499969482422,129.10000610351562,127.5999984741211,128.6999969482422,102.64320373535156,6490293
2022-10-19,ONGC,128.6999969482422,128.6999969482422,127.4000015258789,127.80000305175781,101.9254150390625,7381712
2022-10-20,ONGC,127.0,131.0,125.80000305175781,129.60000610351562,103.3609848022461,18748363
2022-10-21,ONGC,129.35000610351562,133.39999389648438,128.75,131.5500030517578,104.91617584228516,11945173
2022-10-24,ONGC,133.0,134.0,132.39999389648438,132.8000030517578,105.9131088256836,2154912
2022-10-25,ONGC,132.4499969482422,132.89999389648438,129.85000610351562,130.75,104.27814483642578,10232002
2022-10-27,ONGC,130.75,132.1999969482422,130.3000030517578,131.8000030517578,105.11556243896484,13865026
2022-10-28,ONGC,132.10000610351562,135.60000610351562,131.8000030517578,133.6999969482422,106.63087463378906,22918037
2022-10-31,ONGC,134.39999389648438,135.1999969482422,132.8000030517578,134.0500030517578,106.91002655029297,8753855
2022-11-01,ONGC,134.10000610351562,135.6999969482422,134.10000610351562,135.14999389648438,107.78731536865234,11630848
